iter	Passed	Remaining
0	143	143714
1	144	72196
2	146	48616
3	146	36599
4	147	29400
5	148	24607
6	149	21178
7	152	18952
8	153	16923
9	154	15287
10	155	13960
11	155	12839
12	156	11894
13	157	11094
14	158	10387
15	159	9820
16	160	9275
17	161	8815
18	162	8381
19	163	7990
20	163	7635
21	166	7396
22	167	7104
23	168	6832
24	168	6585
25	169	6352
26	170	6134
27	170	5932
28	171	5745
29	172	5570
30	173	5409
31	173	5257
32	174	5112
33	175	4978
34	175	4847
35	177	4742
36	177	4627
37	178	4518
38	179	4417
39	180	4320
40	182	4265
41	184	4202
42	184	4117
43	185	4036
44	186	3956
45	187	3895
46	188	3822
47	189	3751
48	189	3685
49	190	3621
50	191	3560
51	192	3508
52	193	3454
53	193	3397
54	194	3344
55	195	3293
56	196	3243
57	197	3205
58	197	3157
59	198	3111
60	199	3067
61	199	3023
62	200	2982
63	201	2948
64	202	2909
65	202	2872
66	203	2835
67	204	2796
68	204	2762
69	205	2728
70	206	2696
71	206	2665
72	207	2634
73	208	2604
74	208	2573
75	209	2545
76	210	2517
77	210	2490
78	211	2466
79	212	2439
80	212	2414
81	213	2390
82	214	2366
83	214	2343
84	215	2318
85	216	2296
86	216	2272
87	217	2251
88	217	2230
89	218	2210
90	219	2190
91	219	2170
92	220	2151
93	221	2132
94	221	2113
95	222	2095
96	223	2078
97	224	2061
98	224	2045
99	225	2028
100	226	2012
101	226	1993
102	227	1977
103	227	1961
104	228	1947
105	229	1932
106	229	1917
107	230	1903
108	231	1889
109	231	1875
110	232	1860
111	233	1847
112	233	1834
113	234	1821
114	235	1808
115	235	1795
116	236	1783
117	236	1771
118	237	1758
119	238	1746
120	238	1734
121	239	1723
122	239	1709
123	240	1698
124	241	1688
125	241	1677
126	242	1667
127	242	1655
128	243	1645
129	244	1635
130	245	1625
131	245	1615
132	246	1606
133	247	1596
134	247	1587
135	248	1577
136	249	1568
137	249	1559
138	250	1550
139	250	1541
140	251	1532
141	252	1524
142	252	1515
143	253	1507
144	254	1498
145	254	1490
146	255	1483
147	256	1474
148	256	1467
149	257	1460
150	258	1452
151	259	1445
152	259	1437
153	260	1430
154	261	1422
155	261	1415
156	262	1408
157	262	1401
158	263	1394
159	264	1387
160	264	1380
161	265	1373
162	266	1367
163	266	1360
164	267	1354
165	268	1347
166	268	1341
167	269	1335
168	270	1328
169	270	1322
170	271	1316
171	272	1310
172	272	1304
173	273	1298
174	274	1292
175	274	1287
176	275	1281
177	276	1275
178	276	1269
179	277	1264
180	277	1257
181	278	1251
182	279	1245
183	279	1240
184	280	1235
185	281	1230
186	281	1224
187	282	1219
188	283	1215
189	283	1209
190	284	1204
191	285	1200
192	285	1195
193	286	1190
194	287	1185
195	287	1181
196	288	1176
197	289	1171
198	289	1166
199	290	1162
200	291	1157
201	291	1153
202	292	1148
203	293	1144
204	293	1139
205	294	1135
206	295	1131
207	296	1127
208	296	1123
209	297	1118
210	297	1114
211	298	1109
212	299	1105
213	300	1101
214	300	1097
215	301	1094
216	302	1090
217	302	1086
218	303	1082
219	304	1078
220	304	1074
221	305	1070
222	306	1067
223	306	1063
224	307	1059
225	308	1055
226	309	1052
227	310	1049
228	310	1046
229	311	1042
230	312	1039
231	313	1036
232	313	1033
233	314	1029
234	315	1026
235	316	1023
236	316	1019
237	317	1016
238	318	1012
239	318	1009
240	319	1006
241	320	1002
242	320	999
243	321	995
244	322	992
245	322	989
246	323	985
247	323	982
248	324	978
249	325	975
250	325	972
251	326	969
252	327	966
253	328	963
254	328	960
255	329	957
256	330	954
257	330	951
258	331	947
259	331	944
260	332	941
261	333	938
262	333	935
263	334	932
264	335	929
265	335	926
266	336	923
267	337	921
268	337	918
269	338	915
270	339	912
271	339	909
272	340	907
273	341	904
274	341	901
275	342	898
276	343	895
277	343	892
278	344	890
279	345	887
280	345	884
281	346	882
282	347	879
283	347	877
284	348	874
285	349	871
286	349	869
287	350	866
288	351	864
289	352	861
290	352	859
291	353	856
292	354	854
293	354	852
294	355	849
295	356	847
296	356	844
297	357	842
298	358	839
299	358	837
300	359	834
301	360	832
302	360	830
303	361	827
304	362	825
305	362	823
306	363	820
307	364	818
308	364	815
309	365	813
310	366	811
311	366	808
312	367	806
313	368	804
314	368	801
315	369	799
316	370	797
317	370	794
318	371	792
319	371	790
320	372	788
321	373	786
322	374	784
323	374	781
324	375	779
325	376	777
326	376	775
327	377	773
328	378	771
329	378	769
330	379	767
331	380	764
332	380	762
333	381	760
334	382	758
335	382	756
336	383	754
337	384	752
338	384	750
339	385	748
340	386	746
341	386	744
342	387	742
343	388	740
344	388	738
345	389	736
346	390	734
347	391	732
348	391	730
349	392	728
350	392	726
351	393	724
352	394	722
353	395	720
354	395	719
355	396	717
356	397	715
357	397	713
358	398	711
359	399	709
360	399	707
361	400	705
362	401	704
363	401	702
364	402	700
365	403	698
366	403	696
367	404	694
368	405	692
369	405	690
370	406	689
371	407	687
372	407	685
373	408	683
374	409	682
375	409	680
376	410	678
377	411	676
378	411	674
379	412	672
380	413	671
381	413	669
382	414	667
383	415	665
384	415	664
385	416	662
386	416	660
387	417	659
388	418	657
389	419	655
390	419	653
391	420	652
392	421	650
393	421	648
394	422	647
395	423	645
396	423	643
397	424	642
398	425	640
399	425	638
400	426	637
401	427	635
402	427	633
403	428	632
404	429	630
405	429	628
406	430	627
407	431	625
408	431	624
409	432	622
410	433	620
411	433	619
412	434	617
413	435	615
414	435	614
415	436	612
416	437	611
417	437	609
418	438	608
419	439	606
420	439	605
421	440	603
422	441	601
423	442	600
424	442	598
425	443	597
426	444	595
427	444	594
428	445	592
429	446	591
430	446	589
431	447	588
432	448	586
433	448	585
434	449	584
435	450	582
436	451	581
437	451	579
438	452	578
439	452	576
440	453	575
441	454	573
442	454	572
443	455	570
444	456	569
445	456	567
446	457	566
447	458	564
448	458	563
449	459	561
450	460	560
451	460	558
452	461	557
453	462	556
454	463	554
455	463	553
456	464	551
457	465	550
458	466	549
459	466	547
460	467	546
461	467	544
462	468	543
463	469	542
464	470	540
465	470	539
466	471	538
467	472	536
468	472	535
469	473	534
470	474	532
471	474	531
472	475	529
473	476	528
474	476	527
475	477	525
476	478	524
477	478	523
478	479	521
479	480	520
480	480	518
481	481	517
482	482	516
483	482	514
484	483	513
485	484	512
486	484	510
487	485	509
488	486	508
489	486	506
490	487	505
491	488	504
492	488	502
493	489	501
494	490	500
495	490	498
496	491	497
497	492	496
498	493	495
499	494	494
500	494	493
501	495	491
502	496	490
503	496	489
504	497	487
505	498	486
506	498	485
507	499	483
508	500	482
509	500	481
510	501	479
511	502	478
512	502	477
513	503	476
514	504	474
515	504	473
516	505	472
517	506	471
518	506	469
519	507	468
520	508	467
521	508	466
522	509	464
523	510	463
524	510	462
525	511	461
526	512	459
527	512	458
528	513	457
529	514	456
530	514	454
531	515	453
532	516	452
533	516	451
534	517	449
535	518	448
536	518	447
537	519	446
538	520	444
539	520	443
540	521	442
541	522	441
542	522	440
543	523	438
544	524	437
545	524	436
546	525	435
547	526	434
548	526	432
549	527	431
550	528	430
551	528	429
552	529	428
553	530	426
554	530	425
555	531	424
556	532	423
557	532	422
558	533	421
559	534	419
560	535	418
561	535	417
562	536	416
563	537	415
564	537	413
565	538	412
566	538	411
567	539	410
568	540	409
569	540	408
570	541	406
571	542	405
572	542	404
573	543	403
574	544	402
575	544	401
576	545	399
577	546	398
578	546	397
579	547	396
580	548	395
581	548	394
582	549	392
583	550	391
584	550	390
585	551	389
586	552	388
587	553	387
588	553	386
589	554	385
590	555	384
591	555	382
592	556	381
593	556	380
594	557	379
595	558	378
596	558	377
597	559	376
598	560	374
599	560	373
600	561	372
601	562	371
602	562	370
603	563	369
604	564	368
605	564	367
606	565	366
607	566	364
608	566	363
609	567	362
610	567	361
611	568	360
612	569	359
613	569	358
614	570	357
615	571	356
616	571	354
617	572	353
618	573	352
619	573	351
620	574	350
621	575	349
622	575	348
623	576	347
624	577	346
625	577	345
626	578	344
627	579	342
628	579	341
629	580	340
630	581	339
631	581	338
632	582	337
633	583	336
634	583	335
635	584	334
636	585	333
637	585	332
638	586	331
639	587	330
640	587	329
641	588	328
642	589	327
643	589	325
644	590	324
645	590	323
646	591	322
647	592	321
648	592	320
649	593	319
650	594	318
651	594	317
652	595	316
653	595	315
654	596	314
655	597	313
656	597	312
657	598	311
658	599	310
659	599	309
660	600	307
661	601	306
662	601	305
663	602	304
664	603	303
665	603	302
666	604	301
667	605	300
668	605	299
669	606	298
670	607	297
671	607	296
672	608	295
673	609	294
674	609	293
675	610	292
676	611	291
677	611	290
678	612	289
679	613	288
680	613	287
681	614	286
682	615	285
683	615	284
684	616	283
685	617	282
686	617	281
687	618	280
688	619	279
689	619	278
690	620	277
691	621	276
692	621	275
693	622	274
694	623	273
695	623	272
696	624	271
697	625	270
698	625	269
699	626	268
700	627	267
701	627	266
702	628	265
703	629	264
704	629	263
705	630	262
706	630	261
707	631	260
708	632	259
709	632	258
710	633	257
711	634	256
712	634	255
713	635	254
714	636	253
715	636	252
716	637	251
717	638	250
718	638	249
719	639	248
720	640	247
721	641	246
722	641	245
723	642	244
724	643	243
725	643	243
726	644	242
727	645	241
728	645	240
729	646	239
730	647	238
731	647	237
732	648	236
733	649	235
734	650	234
735	650	233
736	651	232
737	652	231
738	652	230
739	653	229
740	654	228
741	654	227
742	655	226
743	655	225
744	656	224
745	657	223
746	657	222
747	658	221
748	659	220
749	659	219
750	660	219
751	661	218
752	661	217
753	662	216
754	663	215
755	663	214
756	664	213
757	665	212
758	665	211
759	666	210
760	667	209
761	667	208
762	668	207
763	669	206
764	669	205
765	670	204
766	671	203
767	671	202
768	672	202
769	673	201
770	673	200
771	674	199
772	675	198
773	675	197
774	676	196
775	677	195
776	677	194
777	678	193
778	679	192
779	679	191
780	680	190
781	681	189
782	681	188
783	682	188
784	683	187
785	683	186
786	684	185
787	685	184
788	685	183
789	686	182
790	687	181
791	687	180
792	688	179
793	689	178
794	689	177
795	690	176
796	691	176
797	691	175
798	692	174
799	692	173
800	693	172
801	694	171
802	694	170
803	695	169
804	696	168
805	697	167
806	697	166
807	698	165
808	699	165
809	699	164
810	700	163
811	701	162
812	701	161
813	702	160
814	703	159
815	703	158
816	704	157
817	705	156
818	705	155
819	706	155
820	706	154
821	707	153
822	708	152
823	708	151
824	709	150
825	710	149
826	710	148
827	711	147
828	711	146
829	712	145
830	713	145
831	714	144
832	714	143
833	715	142
834	716	141
835	716	140
836	717	139
837	718	138
838	718	137
839	719	137
840	720	136
841	720	135
842	721	134
843	722	133
844	722	132
845	723	131
846	724	130
847	724	129
848	725	129
849	726	128
850	726	127
851	727	126
852	728	125
853	728	124
854	729	123
855	731	122
856	731	122
857	732	121
858	733	120
859	733	119
860	734	118
861	735	117
862	735	116
863	736	115
864	737	115
865	737	114
866	738	113
867	739	112
868	739	111
869	740	110
870	740	109
871	741	108
872	742	107
873	742	107
874	743	106
875	744	105
876	744	104
877	745	103
878	746	102
879	746	101
880	747	100
881	748	100
882	748	99
883	749	98
884	750	97
885	750	96
886	751	95
887	752	94
888	752	93
889	753	93
890	754	92
891	754	91
892	755	90
893	756	89
894	756	88
895	757	87
896	758	87
897	758	86
898	759	85
899	760	84
900	760	83
901	761	82
902	762	81
903	762	81
904	763	80
905	764	79
906	764	78
907	765	77
908	766	76
909	766	75
910	767	74
911	767	74
912	768	73
913	769	72
914	770	71
915	770	70
916	771	69
917	772	68
918	772	68
919	773	67
920	774	66
921	775	65
922	775	64
923	776	63
924	777	63
925	778	62
926	778	61
927	779	60
928	780	59
929	780	58
930	781	57
931	782	57
932	782	56
933	783	55
934	784	54
935	784	53
936	785	52
937	786	51
938	786	51
939	787	50
940	788	49
941	789	48
942	789	47
943	790	46
944	791	46
945	791	45
946	792	44
947	793	43
948	793	42
949	794	41
950	795	40
951	796	40
952	796	39
953	797	38
954	798	37
955	798	36
956	799	35
957	800	35
958	800	34
959	801	33
960	802	32
961	803	31
962	803	30
963	804	30
964	805	29
965	805	28
966	806	27
967	807	26
968	807	25
969	808	25
970	809	24
971	809	23
972	810	22
973	811	21
974	811	20
975	812	19
976	813	19
977	814	18
978	814	17
979	815	16
980	816	15
981	817	14
982	817	14
983	818	13
984	819	12
985	819	11
986	820	10
987	821	9
988	822	9
989	822	8
990	823	7
991	824	6
992	825	5
993	825	4
994	826	4
995	827	3
996	827	2
997	828	1
998	829	0
999	830	0
